characteristics,description,id,name,specialRuleValues,specialRules,subType,type,upgradeGroups,wargear,weapons
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":7,""willpower"":6,""cool"":6,""intelligence"":6,""armourSave"":5}",Standard infantry troops equipped with lasrifles and basic combat gear.,lasrifle-trooper-model,Lasrifle Trooper,,"[""rapid-fire"",""first-rank-fire-second-rank-fire""]",Light,Infantry,,"[""flak-armor""]","[""lasrifle"",""laspistol"",""frag-grenades""]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":14,""sideArmour"":13,""rearArmour"":10,""hullPoints"":6,""transportCapacity"":null}",A versatile main battle tank armed with a battle cannon for general combat.,leman-russ-strike-model,Leman Russ Strike Tank,,"[]",Heavy,Vehicle,"[{""id"":""leman-russ-strike-turret-weapon-upgrade-group"",""name"":""Turret Weapon Options"",""description"":""Replace the Battle Cannon with different turret weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-strike-turret-weapon-upgrade""]},{""id"":""leman-russ-strike-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Replace the Hull Heavy Bolter with different hull weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-strike-hull-weapon-upgrade""]},{""id"":""leman-russ-strike-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-strike-pintle-weapon-upgrade""]},{""id"":""leman-russ-strike-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Additional wargear options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-strike-hunter-killer-missile-upgrade"",""leman-russ-strike-searchlight-upgrade"",""leman-russ-strike-dozer-blade-upgrade""]}]","[]","[{""id"":""battlecannon"",""mount"":""Turret Mounted""},{""id"":""heavy-bolter"",""mount"":""Hull (Front) Mounted""}]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":14,""sideArmour"":13,""rearArmour"":10,""hullPoints"":6,""transportCapacity"":null}",A heavily armored assault tank armed with volkite macro-saker for close-range combat.,leman-russ-assault-model,Leman Russ Assault Tank,,"[]",Heavy,Vehicle,"[{""id"":""leman-russ-assault-turret-weapon-upgrade-group"",""name"":""Turret Weapon Options"",""description"":""Replace the Volkite Macro-saker with different turret weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-assault-turret-weapon-upgrade""]},{""id"":""leman-russ-assault-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Replace the Hull Heavy Bolter with different hull weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-assault-hull-weapon-upgrade""]},{""id"":""leman-russ-assault-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-assault-pintle-weapon-upgrade""]},{""id"":""leman-russ-assault-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Additional wargear options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""leman-russ-assault-hunter-killer-missile-upgrade"",""leman-russ-assault-searchlight-upgrade"",""leman-russ-assault-dozer-blade-upgrade""]}]","[]","[{""id"":""volkite-macro-saker"",""mount"":""Turret Mounted""},{""id"":""heavy-bolter"",""mount"":""Hull (Front) Mounted""}]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":4,""attacks"":4,""wounds"":4,""weaponSkill"":5,""ballisticSkill"":5,""leadership"":10,""willpower"":7,""cool"":8,""intelligence"":7,""armourSave"":2,""invulnerableSave"":5}",A Legatine Marshall commanding the Legatine Command Section.,legatine-marshall-model,Legatine Marshall,"{""line"":2}","[""line""]",Command,Infantry,"[{""id"":""legatine-marshall-melee-weapons"",""name"":""Melee Weapon Options"",""description"":""Replace the Charnabal Sabre with different melee weapons"",""collapsible"":true,""defaultCollapsed"":false,""upgrades"":[""legatine-marshall-weapon-upgrade""]},{""id"":""legatine-marshall-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Las Pistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""legatine-marshall-pistol-upgrade""]}]","[]","[""laspistol"",""charnabal-sabre"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":4,""attacks"":2,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":3,""invulnerableSave"":5}",A Lifeward bodyguard in the Legatine Command Section.,lifeward-model,Lifeward,"{""line"":2}","[""line""]",Heavy,Infantry,"[{""id"":""lifeward-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""lifeward-weapon-upgrade"",""lifeward-bayonet-upgrade"",""lifeward-blast-charger-upgrade"",""lifeward-melta-bomb-upgrade""]},{""id"":""lifeward-sabre-upgrade-group"",""name"":""Sabre Options"",""description"":""Replace the Charnabal Sabre with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""lifeward-sabre-upgrade""]},{""id"":""lifeward-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""lifeward-pistol-upgrade""]},{""id"":""lifeward-wargear-options"",""name"":""Wargear Options"",""description"":""Add special wargear to Lifewards"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""lifeward-command-vox-upgrade"",""lifeward-augury-scanner-upgrade"",""lifeward-vexilla-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":4,""attacks"":3,""wounds"":3,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":9,""willpower"":7,""cool"":8,""intelligence"":6,""armourSave"":3,""invulnerableSave"":5}",An Auxilia Captain leading a Tactical Command Section.,auxilia-captain-model,Auxilia Captain,"{""line"":1,""officer-of-the-line"":2}","[""line"",""officer-of-the-line""]",Command,Infantry,"[{""id"":""auxilia-captain-melee-weapons"",""name"":""Melee Weapon Options"",""description"":""Replace the Charnabal Sabre with different melee weapons"",""collapsible"":true,""defaultCollapsed"":false,""upgrades"":[""auxilia-captain-weapon-upgrade""]},{""id"":""auxilia-captain-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Las Pistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-captain-pistol-upgrade""]}]","[]","[""laspistol"",""charnabal-sabre"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":4,""attacks"":2,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":5}",A Companion in the Tactical Command Section.,companion-model,Companion,"{""line"":1}","[""line""]",Heavy,Infantry,"[{""id"":""companion-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""companion-weapon-upgrade""]},{""id"":""companion-sabre-upgrade-group"",""name"":""Sabre Options"",""description"":""Replace the Charnabal Sabre with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""companion-sabre-upgrade""]},{""id"":""companion-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""companion-pistol-upgrade""]},{""id"":""companion-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Companions with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""companion-bayonet-upgrade"",""companion-blast-charger-upgrade"",""companion-melta-bomb-upgrade""]},{""id"":""companion-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Companions"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""companion-command-vox-upgrade"",""companion-augury-scanner-upgrade"",""companion-vexilla-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":8,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",A Troop Master leading a Line Command Section.,troop-master-model,Troop Master,"{""close-order"":1}","[""close-order""]",Sergeant,Infantry,"[{""id"":""troop-master-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""troop-master-weapon-upgrade""]},{""id"":""troop-master-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""troop-master-pistol-upgrade""]},{""id"":""troop-master-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Troop Masters with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""troop-master-bayonet-upgrade"",""troop-master-blast-charger-upgrade"",""troop-master-melta-bomb-upgrade""]},{""id"":""troop-master-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Troop Masters"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""troop-master-command-vox-upgrade"",""troop-master-augury-scanner-upgrade"",""troop-master-vexilla-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":4,""leadership"":7,""willpower"":7,""cool"":7,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veteran in the Line Command Section.,veteran-model,Veteran,"{}","[]",,Infantry,"[{""id"":""veteran-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veteran-weapon-upgrade""]},{""id"":""veteran-sabre-upgrade-group"",""name"":""Sabre Options"",""description"":""Replace the Charnabal Sabre with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veteran-sabre-upgrade""]},{""id"":""veteran-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veteran-pistol-upgrade""]},{""id"":""veteran-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Veterans with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veteran-bayonet-upgrade"",""veteran-blast-charger-upgrade"",""veteran-melta-bomb-upgrade""]},{""id"":""veteran-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Veterans"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veteran-command-vox-upgrade"",""veteran-augury-scanner-upgrade"",""veteran-vexilla-upgrade""]},{""id"":""artillery-veteran-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Artillery Veterans"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""artillery-veteran-command-vox-upgrade"",""artillery-veteran-augury-scanner-upgrade"",""artillery-veteran-auxilia-vexilla-upgrade"",""artillery-veteran-melta-bomb-upgrade""]},{""id"":""artillery-veteran-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Artillery Veterans with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""artillery-veteran-bayonet-upgrade"",""artillery-veteran-blast-charger-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":3,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":9,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",A First Prime leading a Veletaris Command Section.,first-prime-model,First Prime,"{""hold-the-line"":1}","[""hold-the-line""]","Champion, Sergeant",Infantry,"[{""id"":""first-prime-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Charger with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""first-prime-weapon-upgrade""]},{""id"":""first-prime-tabar-upgrade-group"",""name"":""Tabar Options"",""description"":""Replace the Charnabal Tabar with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""first-prime-tabar-upgrade""]},{""id"":""first-prime-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""first-prime-pistol-upgrade""]}]","[]","[""volkite-charger"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii in the Veletaris Command Section.,veletarii-model,Veletarii,"{}","[]",,Infantry,"[{""id"":""veletarii-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Charger with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-weapon-upgrade""]},{""id"":""veletarii-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Veletarii"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-command-vox-upgrade"",""veletarii-augury-scanner-upgrade"",""veletarii-vexilla-upgrade""]}]","[]","[""volkite-charger"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii in the Veletaris Vanguard Section.,veletarii-vanguard-model,Veletarii Vanguard,"{}","[]",,Infantry,"[{""id"":""veletaris-vanguard-vox-upgrade-group"",""name"":""Vox Options"",""description"":""Vox options for Veletaris Vanguard Section"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletaris-vanguard-vox-upgrade""]},{""id"":""veletaris-vanguard-vexilla-upgrade-group"",""name"":""Vexilla Options"",""description"":""Vexilla options for Veletaris Vanguard Section"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletaris-vanguard-vexilla-upgrade""]}]","[]","[""heavy-flamer"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii Prime leading a Veletaris Storm Section.,veletarii-prime-model,Veletarii Prime,"{}","[]",Sergeant,Infantry,"[{""id"":""veletarii-prime-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Charger with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-weapon-upgrade""]},{""id"":""veletarii-prime-tabar-upgrade-group"",""name"":""Tabar Options"",""description"":""Replace the Charnabal Tabar with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-tabar-upgrade""]},{""id"":""veletarii-prime-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-prime-pistol-upgrade""]}]","[]","[""volkite-charger"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":2,""wounds"":1,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Veletarii Prime leading a Veletaris Vanguard Section.,veletarii-vanguard-prime-model,Veletarii Vanguard Prime,"{}","[]",Sergeant,Infantry,"[{""id"":""veletarii-vanguard-prime-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Heavy Flamer with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-weapon-upgrade""]},{""id"":""veletarii-vanguard-prime-tabar-upgrade-group"",""name"":""Tabar Options"",""description"":""Replace the Charnabal Tabar with different melee weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-tabar-upgrade""]},{""id"":""veletarii-vanguard-prime-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""veletarii-vanguard-prime-pistol-upgrade""]}]","[]","[""heavy-flamer"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":7,""willpower"":6,""cool"":7,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",An Auxilia Sergeant leading a Lasrifle Section.,auxilia-sergeant-model,Auxilia Sergeant,"{}","[]",Sergeant,Infantry,"[{""id"":""auxilia-sergeant-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-weapon-upgrade""]},{""id"":""auxilia-sergeant-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Lasrifle with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-pistol-upgrade""]},{""id"":""auxilia-sergeant-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Auxilia Sergeants with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxilia-sergeant-bayonet-upgrade"",""auxilia-sergeant-blast-charger-upgrade"",""auxilia-sergeant-melta-bomb-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
