characteristics,description,id,name,specialRuleValues,specialRules,subType,type,upgradeGroups,wargear,weapons
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":6,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",An Auxiliary in the Lasrifle Section.,auxiliary-model,Auxiliary,"{}","[]",,Infantry,"[{""id"":""auxiliary-weapon-additions"",""name"":""Weapon Additions"",""description"":""Additional weapons for Auxiliaries with Lasrifles"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxiliary-bayonet-upgrade"",""auxiliary-blast-charger-upgrade""]},{""id"":""auxiliary-wargear-options"",""name"":""Wargear Options"",""description"":""Wargear options for Auxiliaries"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""auxiliary-vox-upgrade"",""auxiliary-vexilla-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":8,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":9,""intelligence"":6,""armourSave"":3,""invulnerableSave"":null}",A Hermes Veletaris Sentinel in the Hermes Veletaris Squadron.,hermes-veletaris-sentinel-model,Hermes Veletaris Sentinel,"{""bulky"":2,""vanguard"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""vanguard""]",,Cavalry,"[{""id"":""hermes-veletaris-sentinel-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Volkite Caliver with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-veletaris-sentinel-weapon-upgrade""]}]","[]","[""volkite-caliver"",""frag-grenades"",""krak-grenades""]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":12,""sideArmour"":12,""rearArmour"":10,""hullPoints"":5,""transportCapacity"":null}",A Basilisk Artillery Tank.,basilisk-model,Basilisk,"{}","[]",,Vehicle,"[{""id"":""basilisk-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""basilisk-pintle-weapon-upgrade""]},{""id"":""basilisk-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""basilisk-hunter-killer-missile-upgrade"",""basilisk-dozer-blade-upgrade"",""basilisk-searchlight-upgrade""]}]","[]","[{""id"":""earthshaker-cannon"",""mount"":""Centreline Mounted""}]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":12,""sideArmour"":12,""rearArmour"":10,""hullPoints"":5,""transportCapacity"":null}",A Medusa Artillery Tank.,medusa-model,Medusa,"{}","[]",,Vehicle,"[{""id"":""medusa-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""medusa-pintle-weapon-upgrade""]},{""id"":""medusa-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""medusa-hunter-killer-missile-upgrade"",""medusa-dozer-blade-upgrade"",""medusa-searchlight-upgrade""]}]","[]","[{""id"":""medusa-mortar"",""mount"":""Centreline Mounted""}]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":1,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":7,""intelligence"":6,""armourSave"":3,""invulnerableSave"":null}",A Rapier Gunner in the Rapier Section.,rapier-gunner-model,Rapier Gunner,"{""support-unit"":1}","[""slow-and-purposeful"",""support-unit"",""rapier-section""]",Sergeant,Infantry,"[]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":4,""toughness"":6,""initiative"":1,""attacks"":0,""wounds"":3,""weaponSkill"":1,""ballisticSkill"":3,""leadership"":6,""willpower"":6,""cool"":7,""intelligence"":1,""armourSave"":3,""invulnerableSave"":null}",A Rapier Carrier in the Rapier Section.,rapier-carrier-model,Rapier Carrier,"{""support-unit"":1,""bulky"":4}","[""slow-and-purposeful"",""support-unit"",""rapier-section"",""bulky""]",,Infantry,"[{""id"":""rapier-carrier-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Gravis Multi-Laser Battery with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""rapier-carrier-weapon-upgrade""]}]","[]","[""gravis-multi-laser-battery""]"
"{""movement"":7,""strength"":5,""toughness"":5,""initiative"":2,""attacks"":4,""wounds"":4,""weaponSkill"":4,""ballisticSkill"":2,""leadership"":12,""willpower"":6,""cool"":10,""intelligence"":2,""armourSave"":4,""invulnerableSave"":null}",A Charonite Ogryn in the Charonite Ogryn Section.,charonite-ogryn-model,Charonite Ogryn,"{""bulky"":4,""expendable"":2,""feel-no-pain"":5,""impact"":""A""}","[""heedless"",""bitter-duty"",""bulky"",""expendable"",""feel-no-pain"",""impact""]",Skirmish,Infantry,"[]","[]","[""charonite-claws""]"
"{""movement"":10,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":2,""wounds"":3,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":9,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",A Hermes Lead in the Hermes Command Section.,hermes-lead-model,Hermes Lead,"{""bulky"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""outflank"",""pre-emptive-strike""]","Sergeant, Light",Cavalry,"[{""id"":""hermes-lead-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Multi-laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-weapon-upgrade""]}]","[]","[""multi-laser"",""frag-grenades"",""krak-grenades""]"
"{""movement"":10,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":3,""ballisticSkill"":4,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}",A Hermes Pathfinder in the Hermes Command Section.,hermes-pathfinder-model,Hermes Pathfinder,"{""bulky"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""outflank""]",Light,Cavalry,"[{""id"":""hermes-pathfinder-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Multi-laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-pathfinder-weapon-upgrade""]}]","[]","[""multi-laser"",""frag-grenades"",""krak-grenades""]"
"{""movement"":6,""strength"":3,""toughness"":3,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":4,""ballisticSkill"":4,""leadership"":8,""willpower"":7,""cool"":8,""intelligence"":7,""armourSave"":4,""invulnerableSave"":null}",An Ordnance Master in the Artillery Command Section.,ordnance-master-model,Ordnance Master,,"[""precision-bombardment""]",Sergeant,Infantry,"[{""id"":""ordnance-master-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Lasrifle with different weapon combinations"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-weapon-upgrade""]},{""id"":""ordnance-master-pistol-options"",""name"":""Pistol Options"",""description"":""Replace the Laspistol with different pistol weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-pistol-upgrade""]},{""id"":""ordnance-master-weapon-additions"",""name"":""Weapon Additions"",""description"":""Add bayonet and blast charger options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""ordnance-master-bayonet-upgrade"",""ordnance-master-blast-charger-upgrade""]}]","[]","[""lasrifle"",""frag-grenades"",""krak-grenades""]"
"{""movement"":10,""ballisticSkill"":4,""frontArmour"":14,""sideArmour"":13,""rearArmour"":10,""hullPoints"":6,""transportCapacity"":null}",A Command Tank in the Armoured Command Section.,command-tank-model,Command Tank,"{""auto-repair"":4}","[""armoured-warfare"",""auto-repair""]",,Vehicle,"[{""id"":""command-tank-turret-weapon-upgrade-group"",""name"":""Turret Weapon Options"",""description"":""Replace the Battlecannon with different turret-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""command-tank-turret-weapon-upgrade""]},{""id"":""command-tank-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Replace the Heavy Bolter with different hull-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""command-tank-hull-weapon-upgrade""]},{""id"":""command-tank-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""command-tank-pintle-weapon-upgrade""]},{""id"":""command-tank-hunter-killer-missile-upgrade-group"",""name"":""Hunter-Killer Missile"",""description"":""Add a Hunter-Killer Missile to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""command-tank-hunter-killer-missile-upgrade""]},{""id"":""command-tank-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""command-tank-wargear-upgrade""]}]","[]","[{""id"":""battlecannon"",""mount"":""Turret Mounted""},{""id"":""heavy-bolter"",""mount"":""Hull (Front) Mounted""}]"
"{""movement"":7,""strength"":6,""toughness"":6,""initiative"":3,""attacks"":2,""wounds"":5,""weaponSkill"":3,""ballisticSkill"":4,""leadership"":9,""willpower"":6,""cool"":10,""intelligence"":2,""armourSave"":2,""invulnerableSave"":null}",A heavily armed and armored walker designed for heavy support and anti-armor operations.,aethon-heavy-sentinel-model,Aethon Heavy Sentinel,"{""bulky"":6}","[""bulky"",""slow-and-purposeful""]",Skirmish,Walker,"[{""id"":""aethon-heavy-sentinel-multi-laser-upgrade-group"",""name"":""Multi-Laser Replacement"",""description"":""Replace the Multi-Laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""aethon-heavy-sentinel-multi-laser-upgrade""]},{""id"":""aethon-heavy-sentinel-missile-battery-upgrade-group"",""name"":""Missile Battery Replacement"",""description"":""Replace the Aethon Missile Battery with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""aethon-heavy-sentinel-missile-battery-upgrade""]}]","[]","[""multi-laser"",""aethon-missile-battery""]"
"{""movement"":18,""ballisticSkill"":3,""frontArmour"":11,""sideArmour"":11,""rearArmour"":11,""hullPoints"":4,""transportCapacity"":12}",A light transport aircraft designed for rapid deployment and extraction.,arvus-lighter-model,Arvus Lighter,,"[""light-transport""]","Transport, Flyer",Vehicle,"[{""id"":""arvus-lighter-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Add a Hull (Rear) mounted weapon to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""arvus-lighter-hull-weapon-upgrade""]},{""id"":""arvus-lighter-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""arvus-lighter-wargear-upgrade""]}]","[""searchlights""]","[]"
"{""movement"":12,""ballisticSkill"":3,""frontArmour"":13,""sideArmour"":13,""rearArmour"":11,""hullPoints"":7,""transportCapacity"":22}",A heavily armored transport vehicle designed for troop deployment and battlefield support.,dracosan-model,Dracosan,,"[""light-transport""]",Transport,Vehicle,"[{""id"":""dracosan-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Replace the Twin Lascannon with different hull-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""dracosan-hull-weapon-upgrade""]},{""id"":""dracosan-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""dracosan-pintle-weapon-upgrade""]},{""id"":""dracosan-hunter-killer-missile-upgrade-group"",""name"":""Hunter-Killer Missiles"",""description"":""Add Hull (Front) mounted Hunter-Killer Missiles to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""dracosan-hunter-killer-missile-upgrade""]},{""id"":""dracosan-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""dracosan-wargear-upgrade""]}]","[]","[{""id"":""twin-lascannon"",""mount"":""Hull (Front) Mounted""}]"
"{""movement"":10,""strength"":5,""toughness"":5,""initiative"":3,""attacks"":1,""wounds"":2,""weaponSkill"":3,""ballisticSkill"":3,""leadership"":7,""willpower"":6,""cool"":8,""intelligence"":6,""armourSave"":4,""invulnerableSave"":null}","A fast, lightly armored walker used for reconnaissance and forward observation.",hermes-light-sentinel-model,Hermes Light Sentinel,"{""bulky"":2}","[""bulky"",""implacable-advance"",""move-through-cover"",""outflank""]",Light,Cavalry,"[{""id"":""hermes-light-sentinel-weapon-upgrade-group"",""name"":""Weapon Options"",""description"":""Replace the Multi-Laser with different weapon options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""hermes-light-sentinel-weapon-upgrade""]}]","[]","[""multi-laser"",""frag-grenades"",""krak-grenades""]"
"{""movement"":26,""ballisticSkill"":3,""frontArmour"":11,""sideArmour"":11,""rearArmour"":11,""hullPoints"":4,""transportCapacity"":null}",A fast strike fighter designed for aerial combat and ground attack missions.,primaris-lightning-model,Primaris-Lightning,,"[]",Flyer,Vehicle,"[]","[]","[{""id"":""twin-lascannon"",""mount"":""Centreline Mounted""},{""id"":""hellstrike-missiles"",""mount"":""Centreline Mounted"",""count"":6}]"
"{""movement"":22,""ballisticSkill"":3,""frontArmour"":12,""sideArmour"":12,""rearArmour"":12,""hullPoints"":5,""transportCapacity"":null}",A heavy fighter aircraft designed for aerial combat and ground attack missions.,thunderbolt-model,Thunderbolt,,"[]",Flyer,Vehicle,"[]","[]","[{""id"":""twin-lascannon"",""mount"":""Centreline Mounted""},{""id"":""gravis-autocannon"",""mount"":""Centreline Mounted"",""count"":2}]"
"{""movement"":12,""ballisticSkill"":3,""frontArmour"":13,""sideArmour"":13,""rearArmour"":11,""hullPoints"":7,""transportCapacity"":null}",A heavy tank designed for battlefield dominance and firepower projection.,malcador-model,Malcador,,"[""independent-fire""]",,Vehicle,"[{""id"":""malcador-turret-weapon-upgrade-group"",""name"":""Turret Weapon Options"",""description"":""Replace the Battlecannon with different turret-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-turret-weapon-upgrade""]},{""id"":""malcador-hull-weapon-upgrade-group"",""name"":""Hull Weapon Options"",""description"":""Replace the Heavy Bolter with different hull-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-hull-weapon-upgrade""]},{""id"":""malcador-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle-mounted weapons to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-pintle-weapon-upgrade""]},{""id"":""malcador-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Add various wargear options to the vehicle"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-wargear-upgrade""]},{""id"":""malcador-sponson-weapon-upgrade-group"",""name"":""Sponson Weapon Options"",""description"":""Replace the Sponson Multi-lasers with different sponson-mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-sponson-weapon-upgrade""]}]","[]","[{""id"":""battlecannon"",""mount"":""Hull (Front) Mounted""},{""id"":""heavy-bolter"",""mount"":""Hull (Front) Mounted""},{""id"":""multi-laser"",""mount"":""Sponson Mounted"",""count"":2}]"
"{""movement"":12,""ballisticSkill"":3,""frontArmour"":13,""sideArmour"":13,""rearArmour"":10,""hullPoints"":7,""transportCapacity"":null}",A special weapons tank armed with an infernus cannon and sponson weapons.,malcador-infernus-model,Malcador Infernus,"{""explodes"":3}","[""explodes""]",Heavy,Vehicle,"[{""id"":""malcador-infernus-sponson-weapon-upgrade-group"",""name"":""Sponson Weapon Options"",""description"":""Replace the Sponson Multi-lasers with different sponson weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-infernus-sponson-weapon-upgrade""]},{""id"":""malcador-infernus-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-infernus-pintle-weapon-upgrade""]},{""id"":""malcador-infernus-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Additional wargear options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""malcador-infernus-hunter-killer-missile-upgrade"",""malcador-infernus-searchlight-upgrade"",""malcador-infernus-dozer-blade-upgrade"",""malcador-infernus-flare-shield-upgrade""]}]","[]","[{""id"":""infernus-cannon"",""mount"":""Centreline Mounted""},{""id"":""multi-laser"",""mount"":""Sponson Mounted"",""count"":2}]"
"{""movement"":12,""ballisticSkill"":3,""frontArmour"":13,""sideArmour"":13,""rearArmour"":11,""hullPoints"":7,""transportCapacity"":null}",A specialized tank destroyer armed with a neutron beam laser for anti-armour operations.,valdor-tank-destroyer-model,Valdor Tank Destroyer,"{""explodes"":5}","[""explodes""]",Heavy,Vehicle,"[{""id"":""valdor-sponson-weapon-upgrade-group"",""name"":""Sponson Weapon Options"",""description"":""Replace the Sponson (Right) Multi-laser with different sponson weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""valdor-sponson-weapon-upgrade""]},{""id"":""valdor-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""valdor-pintle-weapon-upgrade""]},{""id"":""valdor-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Additional wargear options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""valdor-hunter-killer-missile-upgrade"",""valdor-searchlight-upgrade"",""valdor-dozer-blade-upgrade"",""valdor-flare-shield-upgrade""]}]","[]","[{""id"":""neutron-beam-laser"",""mount"":""Centreline Mounted""},{""id"":""multi-laser"",""mount"":""Sponson (Right) Mounted""}]"
"{""movement"":10,""ballisticSkill"":3,""frontArmour"":14,""sideArmour"":13,""rearArmour"":12,""hullPoints"":16,""transportCapacity"":null}",A super-heavy assault tank armed with multiple weapons for devastating firepower.,stormhammer-model,Stormhammer,,"[]",Super-Heavy,Vehicle,"[{""id"":""stormhammer-hull-front-weapon-upgrade-group"",""name"":""Hull (Front) Weapon Options"",""description"":""Replace the Hull (Front) Multi-laser with different weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""stormhammer-hull-front-weapon-upgrade""]},{""id"":""stormhammer-hull-side-weapon-upgrade-group"",""name"":""Hull (Side) Weapon Options"",""description"":""Replace the Hull (Left) and Hull (Right) Multi-lasers with different weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""stormhammer-hull-side-weapon-upgrade""]},{""id"":""stormhammer-pintle-weapon-upgrade-group"",""name"":""Pintle Weapon Options"",""description"":""Add pintle mounted weapons"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""stormhammer-pintle-weapon-upgrade""]},{""id"":""stormhammer-wargear-upgrade-group"",""name"":""Wargear Options"",""description"":""Additional wargear options"",""collapsible"":true,""defaultCollapsed"":true,""upgrades"":[""stormhammer-hunter-killer-missile-upgrade"",""stormhammer-searchlight-upgrade"",""stormhammer-flare-shield-upgrade""]}]","[]","[{""id"":""stormhammer-cannon"",""mount"":""Turret Mounted""},{""id"":""multi-laser"",""mount"":""Coaxial Mounted""},{""id"":""twin-battlecannon"",""mount"":""Hull (Front) Mounted""},{""id"":""multi-laser"",""mount"":""Hull (Front) Mounted""},{""id"":""multi-laser"",""mount"":""Hull (Left) Mounted"",""count"":3},{""id"":""multi-laser"",""mount"":""Hull (Right) Mounted"",""count"":3}]"